order_id,customer_id,age,income,city,country,price_text,discount_code,notes,created
ORD-1854,82,39,1000,Boston,USA,607,"",note 82 - 0.267889,2024-03-23
ORD-8951,83,45,1000,nyc,USA,878,"",note 83 - 0.989776,2024-03-24
ORD-1923,84,51,0,NYC ,USA,$936,"",note 84 - 0.209878,2024-03-25
ORD-2281,85,,1000,nyc,USA,$538,"",note 85 - 0.813530,2024-03-26
ORD-9383,86,41,1000,nyc,USA,820,SAVE10,note 86 - 0.952397,2024-03-27
ORD-2078,87,27,0,NYC,USA,383,"",note 87 - 0.249677,2024-03-28
ORD-6146,88,33,0,Boston,USA,375,SAVE20,note 88 - 0.075516,2024-03-29
ORD-6046,89,21,0,NYC,USA,811,SAVE20,note 89 - 0.950254,2024-03-30
ORD-1037,90,,1000,NYC,USA,780,SAVE20,note 90 - 0.217830,2024-03-31
ORD-5533,91,38,1000,Boston,USA,430,"",note 91 - 0.566142,2024-04-01
ORD-5905,92,29,0,NYC,USA,997,SAVE10,note 92 - 0.082421,2024-04-02
ORD-1559,93,38,1000,NYC ,USA,539,"",note 93 - 0.213421,2024-04-03
ORD-1463,94,48,0,Boston,USA,172,"",note 94 - 0.103202,2024-04-04
ORD-2181,95,,1000,nyc,USA,892,"",note 95 - 0.068412,2024-04-05
ORD-6745,96,26,0,NYC ,USA,743,SAVE20,note 96 - 0.859963,2024-04-06
ORD-4537,97,33,0,NYC,USA,$910,"",note 97 - 0.248167,2024-04-07
ORD-4942,98,26,1000,nyc,USA,968,"",note 98 - 0.517749,2024-04-08
ORD-3921,99,29,1000,NYC ,USA,155,SAVE20,note 99 - 0.385886,2024-04-09
ORD-2162,100,,2000,NYC,USA,469,SAVE20,note 100 - 0.860814,2024-04-10
ORD-1195,101,50,0,Boston,USA,881,"",note 101 - 0.587363,2024-04-11
ORD-8209,102,44,1000,NYC,USA,393,SAVE20,note 102 - 0.423575,2024-04-12
ORD-1369,103,38,0,Boston,USA,$730,SAVE10,note 103 - 0.079022,2024-04-13
ORD-1083,104,59,1000,NYC ,USA,749,SAVE10,note 104 - 0.698676,2024-04-14
ORD-2877,105,,0,NYC ,USA,$723,"",note 105 - 0.012665,2024-04-15
ORD-4247,106,38,1000,Boston,USA,901,"",note 106 - 0.371869,2024-04-16
ORD-7034,107,39,1000,nyc,USA,130,SAVE10,note 107 - 0.523854,2024-04-17
ORD-9287,108,36,0,NYC,USA,156,"",note 108 - 0.367688,2024-04-18
ORD-721,109,62,1000,nyc,USA,858,"",note 109 - 0.244551,2024-04-19
ORD-6819,110,,1000,NYC ,USA,329,SAVE10,note 110 - 0.271258,2024-04-20
ORD-2938,111,39,1000,NYC,USA,789,"",note 111 - 0.804338,2024-04-21
ORD-130,112,60,1000,NYC,USA,188,SAVE10,note 112 - 0.200671,2024-04-22
ORD-8083,113,35,1000,nyc,USA,477,"",note 113 - 0.732463,2024-04-23
ORD-157,114,22,0,NYC ,USA,338,SAVE10,note 114 - 0.001462,2024-04-24
ORD-3902,115,,2000,Boston,USA,206,SAVE20,note 115 - 0.492029,2024-04-25
ORD-7511,116,66,1000,nyc,USA,817,"",note 116 - 0.580771,2024-04-26
ORD-7126,117,49,1000,NYC ,USA,706,"",note 117 - 0.236772,2024-04-27
ORD-3827,118,37,1000,Boston,USA,425,"",note 118 - 0.943555,2024-04-28
ORD-7365,119,45,1000,NYC ,USA,$259,SAVE20,note 119 - 0.314033,2024-04-29
ORD-2582,120,,0,NYC ,USA,$972,SAVE10,note 120 - 0.826387,2024-03-01
ORD-802,121,43,0,NYC,USA,464,SAVE10,note 121 - 0.260167,2024-03-02
ORD-7570,122,40,1000,Boston,USA,663,"",note 122 - 0.803897,2024-03-03
ORD-6098,123,37,1000,NYC ,USA,302,"",note 123 - 0.582324,2024-03-04
ORD-5432,124,37,1000,NYC,USA,194,"",note 124 - 0.042696,2024-03-05
ORD-6990,125,,0,Boston,USA,$608,"",note 125 - 0.353943,2024-03-06
ORD-9022,126,44,1000,Boston,USA,402,SAVE20,note 126 - 0.060979,2024-03-07
ORD-8614,127,34,0,nyc,USA,758,"",note 127 - 0.630754,2024-03-08
ORD-5636,128,43,1000,Boston,USA,657,SAVE10,note 128 - 0.388381,2024-03-09
ORD-9568,129,22,0,NYC ,USA,583,"",note 129 - 0.973980,2024-03-10
ORD-3594,130,,1000,nyc,USA,$854,SAVE20,note 130 - 0.354805,2024-03-11
ORD-5878,131,45,0,NYC ,USA,925,"",note 131 - 0.703453,2024-03-12
ORD-8064,132,31,1000,NYC ,USA,929,SAVE10,note 132 - 0.175557,2024-03-13
ORD-7831,133,47,0,NYC,USA,$324,"",note 133 - 0.331734,2024-03-14
ORD-2320,134,25,1000,nyc,USA,$122,"",note 134 - 0.846481,2024-03-15
ORD-1655,135,,1000,nyc,USA,778,SAVE10,note 135 - 0.301765,2024-03-16
ORD-5846,136,41,1000,Boston,USA,675,"",note 136 - 0.665532,2024-03-17
ORD-29,137,41,0,NYC ,USA,$401,SAVE20,note 137 - 0.850757,2024-03-18
ORD-9265,138,39,2000,NYC ,USA,726,"",note 138 - 0.936688,2024-03-19
ORD-2750,139,26,0,NYC ,USA,455,"",note 139 - 0.821662,2024-03-20
ORD-5742,140,,0,nyc,USA,355,SAVE10,note 140 - 0.787020,2024-03-21
ORD-6783,141,25,0,NYC,USA,529,SAVE20,note 141 - 0.881771,2024-03-22
ORD-2664,142,32,1000,Boston,USA,876,SAVE20,note 142 - 0.073709,2024-03-23
ORD-2787,143,45,0,NYC,USA,$207,SAVE20,note 143 - 0.160904,2024-03-24
ORD-2573,144,57,0,NYC,USA,721,"",note 144 - 0.101258,2024-03-25
ORD-8849,145,,1000,NYC ,USA,667,SAVE10,note 145 - 0.660598,2024-03-26
ORD-62,146,36,1000,Boston,USA,$257,SAVE20,note 146 - 0.087628,2024-03-27
ORD-1892,147,41,0,Boston,USA,183,SAVE10,note 147 - 0.784877,2024-03-28
ORD-6249,148,19,0,nyc,USA,289,SAVE10,note 148 - 0.186583,2024-03-29
ORD-9244,149,41,0,NYC,USA,331,"",note 149 - 0.151131,2024-03-30
ORD-9070,150,,1000,nyc,USA,874,"",note 150 - 0.840797,2024-03-31
ORD-1293,151,34,2000,Boston,USA,341,SAVE20,note 151 - 0.902777,2024-04-01
ORD-2422,152,35,0,NYC ,USA,799,SAVE10,note 152 - 0.319749,2024-04-02
ORD-4525,153,27,0,NYC,USA,665,SAVE20,note 153 - 0.917162,2024-04-03
ORD-1641,154,51,0,Boston,USA,680,"",note 154 - 0.562684,2024-04-04
ORD-613,155,,0,NYC,USA,685,"",note 155 - 0.275414,2024-04-05
ORD-4400,156,45,0,Boston,USA,863,SAVE10,note 156 - 0.020233,2024-04-06
ORD-1609,157,47,0,nyc,USA,978,"",note 157 - 0.134386,2024-04-07
ORD-7237,158,47,0,nyc,USA,$761,"",note 158 - 0.913433,2024-04-08
ORD-920,159,36,1000,Boston,USA,988,"",note 159 - 0.065617,2024-04-09
ORD-8275,160,,0,NYC,USA,477,SAVE20,note 160 - 0.635410,2024-04-10
ORD-2909,161,29,1000,NYC,USA,600,SAVE20,note 161 - 0.586880,2024-04-11
ORD-813,162,34,1000,nyc,USA,$391,"",note 162 - 0.853821,2024-04-12
ORD-6709,163,42,2000,NYC ,USA,793,"",note 163 - 0.864630,2024-04-13
ORD-3666,164,51,2000,Boston,USA,715,SAVE10,note 164 - 0.608344,2024-04-14
ORD-6168,165,,1000,nyc,USA,381,SAVE10,note 165 - 0.458998,2024-04-15
ORD-6131,166,39,1000,Boston,USA,778,SAVE10,note 166 - 0.298476,2024-04-16
ORD-4536,167,45,0,NYC,USA,383,SAVE10,note 167 - 0.656120,2024-04-17
ORD-2292,168,50,1000,NYC ,USA,776,"",note 168 - 0.655401,2024-04-18
ORD-9552,169,34,0,nyc,USA,497,"",note 169 - 0.343167,2024-04-19
ORD-9146,170,,1000,Boston,USA,960,"",note 170 - 0.293784,2024-04-20
ORD-2999,171,24,0,Boston,USA,927,SAVE10,note 171 - 0.654435,2024-04-21
ORD-4817,172,39,0,nyc,USA,480,SAVE20,note 172 - 0.851214,2024-04-22
ORD-8199,173,44,1000,Boston,USA,583,"",note 173 - 0.867498,2024-04-23
ORD-9329,174,32,1000,NYC,USA,305,SAVE20,note 174 - 0.143224,2024-04-24
ORD-5134,175,,1000,NYC ,USA,746,"",note 175 - 0.004714,2024-04-25
ORD-1442,176,35,1000,NYC ,USA,904,"",note 176 - 0.614480,2024-04-26
ORD-230,177,53,0,Boston,USA,304,SAVE10,note 177 - 0.756848,2024-04-27
ORD-5113,178,36,1000,NYC,USA,810,"",note 178 - 0.102708,2024-04-28
ORD-8587,179,37,0,nyc,USA,845,SAVE10,note 179 - 0.433665,2024-04-29
ORD-3742,180,,0,Boston,USA,931,"",note 180 - 0.727169,2024-03-01
ORD-612,181,33,1000,NYC ,USA,828,SAVE20,note 181 - 0.876544,2024-03-02
ORD-323,182,37,1000,NYC,USA,210,"",note 182 - 0.689750,2024-03-03
ORD-2508,183,49,0,Boston,USA,358,"",note 183 - 0.695192,2024-03-04
ORD-6862,184,32,1000,NYC,USA,720,"",note 184 - 0.511585,2024-03-05
ORD-3272,185,,0,NYC,USA,$609,SAVE10,note 185 - 0.831499,2024-03-06
ORD-7875,186,46,0,Boston,USA,608,SAVE10,note 186 - 0.234505,2024-03-07
ORD-8383,187,36,2000,NYC,USA,252,"",note 187 - 0.723564,2024-03-08
ORD-1635,188,43,0,NYC ,USA,370,"",note 188 - 0.874140,2024-03-09
ORD-1556,189,42,0,nyc,USA,536,"",note 189 - 0.009672,2024-03-10
ORD-1522,190,,0,nyc,USA,736,SAVE10,note 190 - 0.814964,2024-03-11
ORD-6319,191,47,0,NYC ,USA,567,SAVE20,note 191 - 0.799899,2024-03-12
ORD-6221,192,28,0,NYC,USA,$548,SAVE10,note 192 - 0.611358,2024-03-13
ORD-1037,193,25,0,NYC ,USA,521,SAVE10,note 193 - 0.654974,2024-03-14
ORD-7091,194,56,0,NYC ,USA,817,"",note 194 - 0.481930,2024-03-15
ORD-2571,195,,2000,Boston,USA,111,SAVE20,note 195 - 0.851871,2024-03-16
ORD-3648,196,40,0,Boston,USA,$384,SAVE20,note 196 - 0.403277,2024-03-17
ORD-8166,197,35,0,NYC ,USA,686,SAVE20,note 197 - 0.316062,2024-03-18
ORD-1489,198,52,0,NYC,USA,670,SAVE10,note 198 - 0.890111,2024-03-19
ORD-889,199,36,1000,NYC ,USA,449,"",note 199 - 0.844317,2024-03-20
ORD-3633,200,,1000,Boston,USA,$563,"",note 200 - 0.341357,2024-03-21
ORD-2689,201,51,1000,nyc,USA,$208,SAVE20,note 201 - 0.140449,2024-03-22
ORD-6437,202,35,0,NYC,USA,223,"",note 202 - 0.457046,2024-03-23
ORD-9647,203,23,1000,NYC ,USA,$524,"",note 203 - 0.772145,2024-03-24
ORD-7912,204,25,1000,NYC ,USA,543,"",note 204 - 0.691818,2024-03-25
ORD-9931,205,,1000,NYC ,USA,496,SAVE10,note 205 - 0.504110,2024-03-26
ORD-9871,206,19,1000,NYC ,USA,$236,SAVE10,note 206 - 0.843074,2024-03-27
ORD-5657,207,54,1000,nyc,USA,739,"",note 207 - 0.981335,2024-03-28
ORD-9349,208,24,1000,nyc,USA,675,SAVE20,note 208 - 0.674243,2024-03-29
ORD-414,209,19,1000,nyc,USA,113,SAVE20,note 209 - 0.145327,2024-03-30
ORD-7415,210,,1000,NYC ,USA,$654,"",note 210 - 0.616109,2024-03-31
ORD-4712,211,32,1000,NYC ,USA,343,"",note 211 - 0.926485,2024-04-01
ORD-7259,212,20,1000,nyc,USA,989,"",note 212 - 0.911486,2024-04-02
ORD-3170,213,52,1000,nyc,USA,$717,SAVE10,note 213 - 0.448815,2024-04-03
ORD-9119,214,41,1000,NYC ,USA,141,SAVE10,note 214 - 0.130067,2024-04-04
ORD-4934,215,,2000,nyc,USA,892,SAVE20,note 215 - 0.789908,2024-04-05
ORD-8276,216,34,1000,nyc,USA,$633,"",note 216 - 0.415931,2024-04-06
ORD-5424,217,36,0,Boston,USA,318,SAVE10,note 217 - 0.293574,2024-04-07
ORD-3994,218,49,1000,Boston,USA,757,"",note 218 - 0.682551,2024-04-08
ORD-8851,219,34,0,nyc,USA,216,SAVE10,note 219 - 0.024706,2024-04-09
ORD-8419,220,,0,Boston,USA,$767,"",note 220 - 0.948212,2024-04-10
ORD-3492,221,36,1000,NYC ,USA,315,SAVE20,note 221 - 0.835665,2024-04-11
ORD-620,222,42,1000,Boston,USA,570,"",note 222 - 0.073248,2024-04-12
ORD-4237,223,54,1000,NYC ,USA,688,SAVE20,note 223 - 0.388033,2024-04-13
ORD-1036,224,31,0,NYC,USA,106,"",note 224 - 0.700882,2024-04-14
ORD-4937,225,,0,NYC,USA,396,"",note 225 - 0.281517,2024-04-15
ORD-8941,226,45,0,NYC,USA,239,SAVE10,note 226 - 0.960134,2024-04-16
ORD-4992,227,34,1000,NYC ,USA,660,"",note 227 - 0.748297,2024-04-17
ORD-3183,228,44,0,Boston,USA,731,"",note 228 - 0.181358,2024-04-18
ORD-3234,229,33,1000,NYC,USA,168,SAVE20,note 229 - 0.951540,2024-04-19
ORD-7383,230,,0,NYC ,USA,298,SAVE10,note 230 - 0.616342,2024-04-20
ORD-5182,231,48,1000,nyc,USA,680,SAVE20,note 231 - 0.168640,2024-04-21
ORD-7863,232,31,0,Boston,USA,795,SAVE20,note 232 - 0.445358,2024-04-22
ORD-4597,233,52,0,nyc,USA,761,"",note 233 - 0.891297,2024-04-23
ORD-6637,234,42,1000,NYC,USA,932,"",note 234 - 0.906304,2024-04-24
ORD-9660,235,,0,nyc,USA,474,SAVE10,note 235 - 0.133881,2024-04-25
ORD-2717,236,34,1000,nyc,USA,968,"",note 236 - 0.446220,2024-04-26
ORD-7921,237,37,1000,NYC ,USA,993,SAVE10,note 237 - 0.040420,2024-04-27
ORD-5918,238,38,0,nyc,USA,311,SAVE20,note 238 - 0.469674,2024-04-28
ORD-4480,239,31,1000,Boston,USA,633,SAVE10,note 239 - 0.578631,2024-04-29
ORD-4121,240,,0,Boston,USA,$955,SAVE20,note 240 - 0.972674,2024-03-01
ORD-7898,241,34,1000,NYC ,USA,988,"",note 241 - 0.501837,2024-03-02
ORD-5934,242,41,1000,NYC,USA,$253,"",note 242 - 0.661110,2024-03-03
ORD-7848,243,42,2000,Boston,USA,593,"",note 243 - 0.590791,2024-03-04
ORD-8399,244,32,0,NYC ,USA,$264,"",note 244 - 0.890798,2024-03-05
ORD-6642,245,,0,NYC ,USA,284,"",note 245 - 0.878509,2024-03-06
ORD-2794,246,35,0,NYC,USA,582,"",note 246 - 0.830364,2024-03-07
ORD-5614,247,21,0,NYC ,USA,$370,SAVE20,note 247 - 0.596533,2024-03-08
ORD-6877,248,45,0,NYC ,USA,980,"",note 248 - 0.605511,2024-03-09
ORD-8706,249,41,0,NYC ,USA,139,"",note 249 - 0.093190,2024-03-10
ORD-8680,250,,1000,NYC,USA,479,SAVE20,note 250 - 0.229486,2024-03-11
ORD-9439,251,21,1000,Boston,USA,703,"",note 251 - 0.425489,2024-03-12
ORD-116,252,37,0,NYC,USA,826,"",note 252 - 0.519762,2024-03-13
ORD-1746,253,53,1000,Boston,USA,423,"",note 253 - 0.426072,2024-03-14
ORD-3337,254,31,1000,Boston,USA,796,SAVE20,note 254 - 0.552105,2024-03-15
ORD-5024,255,,0,Boston,USA,595,SAVE10,note 255 - 0.774194,2024-03-16
ORD-1642,256,34,1000,NYC,USA,816,"",note 256 - 0.508344,2024-03-17
ORD-2633,257,40,1000,nyc,USA,800,SAVE20,note 257 - 0.964570,2024-03-18
ORD-3633,258,41,0,NYC ,USA,$190,SAVE10,note 258 - 0.080040,2024-03-19
ORD-9788,259,38,0,NYC,USA,393,"",note 259 - 0.945716,2024-03-20
ORD-9822,260,,1000,Boston,USA,$299,"",note 260 - 0.615190,2024-03-21
ORD-4520,261,26,0,NYC,USA,$261,SAVE20,note 261 - 0.353128,2024-03-22
ORD-9160,262,28,1000,NYC,USA,192,SAVE10,note 262 - 0.347475,2024-03-23
ORD-6670,263,45,0,nyc,USA,104,"",note 263 - 0.558631,2024-03-24
ORD-3985,264,29,1000,NYC,USA,486,SAVE10,note 264 - 0.961239,2024-03-25
ORD-1904,265,,3000,Boston,USA,$982,SAVE10,note 265 - 0.067554,2024-03-26
ORD-159,266,18,1000,NYC ,USA,461,SAVE10,note 266 - 0.248258,2024-03-27
ORD-2924,267,16,0,NYC,USA,$450,SAVE20,note 267 - 0.313873,2024-03-28
ORD-3965,268,40,1000,NYC ,USA,304,SAVE10,note 268 - 0.206779,2024-03-29
ORD-8071,269,49,0,NYC ,USA,222,"",note 269 - 0.764244,2024-03-30
ORD-8041,270,,0,Boston,USA,688,"",note 270 - 0.984395,2024-03-31
ORD-6933,271,37,0,nyc,USA,$231,SAVE20,note 271 - 0.939654,2024-04-01
ORD-137,272,46,0,NYC ,USA,630,"",note 272 - 0.674103,2024-04-02
ORD-3066,273,39,1000,Boston,USA,727,SAVE10,note 273 - 0.237139,2024-04-03
ORD-6099,274,25,0,nyc,USA,529,SAVE10,note 274 - 0.854326,2024-04-04
ORD-1636,275,,0,nyc,USA,689,SAVE10,note 275 - 0.804088,2024-04-05
ORD-8748,276,21,0,NYC ,USA,969,SAVE10,note 276 - 0.785333,2024-04-06
ORD-1577,277,31,0,nyc,USA,360,SAVE20,note 277 - 0.744593,2024-04-07
ORD-9921,278,37,0,nyc,USA,459,"",note 278 - 0.576854,2024-04-08
ORD-7987,279,46,1000,NYC ,USA,432,SAVE20,note 279 - 0.889632,2024-04-09
ORD-9365,280,,2000,NYC ,USA,445,SAVE20,note 280 - 0.848901,2024-04-10
ORD-4773,281,43,0,NYC,USA,421,SAVE10,note 281 - 0.605385,2024-04-11
ORD-3012,282,23,1000,nyc,USA,561,"",note 282 - 0.125040,2024-04-12
ORD-1565,283,49,1000,NYC ,USA,270,"",note 283 - 0.936794,2024-04-13
ORD-6387,284,35,0,Boston,USA,186,SAVE10,note 284 - 0.229356,2024-04-14
ORD-468,285,,0,nyc,USA,639,"",note 285 - 0.663549,2024-04-15
ORD-2213,286,43,0,Boston,USA,378,"",note 286 - 0.590831,2024-04-16
ORD-8745,287,31,1000,Boston,USA,677,SAVE10,note 287 - 0.908923,2024-04-17
ORD-172,288,31,0,NYC,USA,$366,"",note 288 - 0.523316,2024-04-18
ORD-8059,289,38,0,NYC ,USA,108,SAVE20,note 289 - 0.299611,2024-04-19
ORD-9184,290,,1000,NYC ,USA,293,SAVE20,note 290 - 0.394752,2024-04-20
ORD-4308,291,21,1000,NYC ,USA,948,"",note 291 - 0.422239,2024-04-21
ORD-3080,292,39,0,nyc,USA,928,"",note 292 - 0.182407,2024-04-22
ORD-8060,293,53,0,nyc,USA,563,"",note 293 - 0.320644,2024-04-23
ORD-7183,294,51,0,NYC,USA,$375,"",note 294 - 0.232810,2024-04-24
ORD-7597,295,,0,NYC ,USA,610,"",note 295 - 0.330249,2024-04-25
ORD-3148,296,50,0,NYC,USA,656,SAVE10,note 296 - 0.817251,2024-04-26
ORD-549,297,19,0,NYC,USA,553,"",note 297 - 0.460835,2024-04-27
ORD-2598,298,39,0,NYC ,USA,419,"",note 298 - 0.744725,2024-04-28
ORD-853,299,27,0,NYC,USA,303,"",note 299 - 0.973274,2024-04-29
ORD-3982,300,,0,NYC,USA,222,"",note 300 - 0.968835,2024-03-01
ORD-2583,301,47,1000,Boston,USA,$889,SAVE20,note 301 - 0.091402,2024-03-02
ORD-5189,302,22,1000,NYC,USA,228,SAVE10,note 302 - 0.805525,2024-03-03
ORD-7951,303,23,0,Boston,USA,356,SAVE20,note 303 - 0.559025,2024-03-04
ORD-9808,304,27,1000,NYC ,USA,579,"",note 304 - 0.068877,2024-03-05
ORD-11,305,,0,NYC ,USA,654,SAVE20,note 305 - 0.733658,2024-03-06
ORD-8830,306,47,1000,nyc,USA,$838,SAVE20,note 306 - 0.189869,2024-03-07
ORD-5276,307,29,1000,Boston,USA,389,"",note 307 - 0.096256,2024-03-08
ORD-6366,308,36,0,NYC ,USA,132,SAVE20,note 308 - 0.525821,2024-03-09
ORD-3419,309,35,0,nyc,USA,$835,SAVE20,note 309 - 0.928404,2024-03-10
ORD-955,310,,0,NYC,USA,525,SAVE10,note 310 - 0.529021,2024-03-11
